FID,AREA,PERIMETER,INDEX_,INDEX_ID,TILE,TILENUM
301,16377449.813226,16331.619535557,30,1308,2178,2178
302,16419768.222731,16355.590520349,629,331,0447,447
303,16386799.686663,16336.922208854,146,1119,1498,1498
304,16377462.930315,16331.627063458,31,1263,2179,2179
305,16422074.742402,16356.906878161,630,1597,1319,1319
306,16386787.168956,16336.917059714,147,1067,1499,1499
307,16377448.938685,16331.620369301,32,1217,2180,2180
308,16419764.617105,16355.589181178,631,283,0536,536
309,16386788.922554,16336.918649356,148,1014,1500,1500
310,16377438.540677,16331.61620563,33,1165,2181,2181
311,16422092.175788,16356.916611176,632,1584,1178,1178
312,16377422.758719,16331.607759919,34,1113,2182,2182
313,16386780.191144,16336.913903571,149,959,1501,1501
314,16419755.348234,16355.584566247,633,235,0633,633
315,16408105.212641,16348.984297699,402,1578,1184,1184
316,16386780.629428,16336.914611325,150,902,1502,1502
317,16422095.042488,16356.917105527,634,1569,1045,1045
318,16377428.465488,16331.611682535,35,1060,2183,2183
319,16387051.030892,16337.067682417,151,846,1503,1503
320,16405688.774714,16347.627514174,403,229,0627,627
321,16419742.028812,16355.57853434,635,192,0738,738
322,16408110.076488,16348.986855182,404,1563,1051,1051
323,16377411.996197,16331.604194964,36,1007,2184,2184
324,16387046.939515,16337.065597464,152,789,1504,1504
325,16405677.15522,16347.621489646,405,186,0732,732
326,16422095.706176,16356.916012152,636,1551,0920,920
327,16387042.717084,16337.063622606,153,732,1505,1505
328,16377402.107081,16331.600369352,37,952,2185,2185
329,16387049.657857,16337.067874379,154,677,1506,1506
330,16408112.695804,16348.987767568,406,1545,0926,926
331,16419740.551348,16355.579082035,637,156,0851,851
332,16377399.004333,16331.599075624,38,896,2186,2186
333,16387047.817556,16337.066808479,155,622,1507,1507
334,16405678.266279,16347.621295637,407,150,0845,845
335,16422007.582827,16356.86593049,638,1530,0803,803
336,16377735.173286,16331.787980883,39,839,2187,2187
337,16387052.597101,16337.068224052,156,568,1508,1508
338,16405520.62573,16347.531404001,408,118,0966,966
339,16419555.970004,16355.476164872,639,124,0972,972
340,16419548.055979,16355.472669428,640,94,1101,1101
341,16408000.123697,16348.923573857,409,1524,0809,809
342,16377768.778091,16331.80624336,40,782,2188,2188
343,16387059.781511,16337.071195627,157,515,1509,1509
344,16405521.063957,16347.531025269,410,88,1095,1095
345,16387069.701016,16337.076845575,158,465,1510,1510
346,16377740.77873,16331.79089528,41,727,2189,2189
347,16422019.393299,16356.872175534,641,1507,0694,694
348,16407988.123017,16348.917656983,411,1501,0700,700
349,16387056.195887,16337.06893663,159,415,1511,1511
350,16419553.672524,16355.475802513,642,65,1238,1238
351,16377747.641356,16331.79514788,42,672,2190,2190
352,16422029.316345,16356.876032234,643,1479,0593,593
353,16407970.793779,16348.909242697,412,1473,0599,599
354,16387067.258913,16337.074770899,160,366,1512,1512
355,16377749.229938,16331.796032658,43,618,2191,2191
356,16387059.822268,16337.072212705,161,317,1513,1513
357,16422037.943992,16356.879388161,644,1446,0500,500
358,16407974.440796,16348.91260385,413,1440,0506,506
359,16387048.228416,16337.066047808,162,269,1514,1514
360,16422046.11585,16356.883327287,645,1408,0415,415
361,16407953.43732,16348.902334376,414,1402,0421,421
362,16377750.495257,16331.796620192,44,564,2192,2192
363,16377749.155695,16331.795691664,45,511,2193,2193
364,16387055.490549,16337.06860205,163,221,1515,1515
365,16407951.944473,16348.901728163,415,1364,0422,422
366,16422047.232503,16356.882878431,646,1370,0338,338
367,16377752.852146,16331.797245392,46,461,2194,2194
