OBJECTID_1,OBJECTID,TNODE_,LPOLY_,RPOLY_,LENGTH,STREETCL_,STREETCL_I,PREFIX,NAME,TYPE,SUFFIX,STREETNAME,ALTERNATEN,LLEFT,HLEFT,LRGT,HRGT,FROMSTREET,TOSTREET,OWNER,BELTWAY,MAJORRD,NO_LANES,CFCC,ONEWAY,STCL_CODE,UNIQUE_ID,ROUTE_ID,ROUTE_TYPE,LNK_ROUTE_,CITYWORKS,FACILITYID,LEGACYID,INSTALLDAT,WARRANTYDA,CONDITIOND,LOCATION
126,165,0,0,0,12092.0196173495,72728,3, ,Millers Grove & Clairton ,Rd, ,Millers Grove & Clairton Rd,Old Clairton Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4211-02,SNOW,421102, ,72728, ,,,,Millers Grove & Clairton Rd
127,166,0,0,0,8832.78131415693,72759,187, ,Coal Valley ,Rd, ,Coal Valley Rd,"Coal Valley Rd #1, Muttontown Rd",0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4081-01,SNOW,408101, ,72759, ,,,,Coal Valley Rd
128,167,0,0,0,5296.14652833829,72763,69, ,Lebanon Church ,Rd, ,Lebanon Church Rd,Lebanon Church Rd,0,0,0,0, , ,County,Yellow,Yes,0, , ,1630,0,  5173-01,SNOW,517301, ,72763, ,,,,Lebanon Church Rd
129,168,0,0,0,6064.29224712691,72785,3, ,Coal Valley ,Rd, ,Coal Valley Rd,Coal Valley Rd #2,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4081-02,SNOW,408102, ,72785, ,,,,Coal Valley Rd
130,169,0,0,0,4585.61797687114,72788,17, ,Coal Valley ,Rd, ,Coal Valley Rd,Coal Valley Rd #3,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4081-03,SNOW,408103, ,72788, ,,,,Coal Valley Rd
131,170,0,0,0,3530.60366482977,72820,22, ,Cliff Mine / Coraopolis Hgts ,Rd, ,Cliff Mine / Coraopolis Hgts Rd,Cliff Mine Rd,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  6075-01,SNOW,607501, ,72820, ,,,,Cliff Mine / Coraopolis Hgts Rd
132,171,0,0,0,10503.8046316428,72832,5, ,Steubenville Pike / Enlow ,Rd, ,Steubenville Pike / Enlow Rd,Cliff Mine Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6293-01,SNOW,629301, ,72832, ,,,,Steubenville Pike / Enlow Rd
133,550,0,0,0,17544.0251945521,67199,25, ,Creighton Russelton ,Rd, ,Creighton Russelton Rd,Baileys Run Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3093-00,SNOW,309300, ,81572, ,,,,Creighton Russelton Rd
134,61,0,0,0,1801.44655561995,31420,25, ,Old Campbells Run ,Rd , ,Old Campbells Run Rd ,Old Campbells Run Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6072-07,SNOW,607207, ,31420, ,,,,Campbells Run Rd
135,61,0,0,0,18763.907468324,31420,25, ,Campbells Run ,Rd , ,Campbells Run Rd ,Campbells Run Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6072-03,SNOW,607203, ,31420, ,,,,Campbells Run Rd
136,553,0,0,0,2330.01871590738,29068,54, ,McKees Rocks / Steubenville,Rd , ,McKees Rocks / Steubenville Rd Extension,Heckle Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6199-02,SNOW,619902, ,29068, ,,,,Mc Kees Rocks / Steubenville Pike
137,555,0,0,0,13592.3676078263,49425,27, ,Broughton &Cochrans Mill ,Rd, ,Broughton &Cochrans Mill Rd,Cochran Mill Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5045-01,SNOW,504501, ,49425, ,,,,Broughton / Cochran Mill Rd
138,556,0,0,0,8333.65269934563,73840,15, ,Duff City - Camp Meeting ,Rd, ,Duff City - Camp Meeting Rd,Camp meeting Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  1104-00,SNOW,110400, ,80614, ,,,,Duffs City-Camp Meeting Rd
139,557,0,0,0,3578.6590808395,42508,70, ,East Pittsburgh & McKeesport ,Blvd, ,East Pittsburgh & McKeesport Blvd,East Pittsburgh & Mckeesport Blvd,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  4111-00,SNOW,411100, ,42508, ,,,,East Pittsburgh & Mckeesport Blvd
140,558,0,0,0,1045.98175589187,49833,37, ,Ridge ,Rd, ,Ridge Rd (McCorkle),Ridge Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5262-02,SNOW,526202, ,80223, ,,,,Ridge Rd/ Mc Corkle Rd
141,646,0,0,0,1100.05587645001,30828,117, ,Graham ,Blvd, ,Graham Blvd,Graham Blvd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3138-01,SNOW,313801, ,81564, ,,,,Graham Blvd
