X,Y,TEMA,SURVEY,TEXTSTRING,OBJECTID
-6.37438971502884,55.1507496714416,B_CLASS,20050124,B 147,404
-6.3394629006909,55.1745329862901,B_CLASS,20050124,B 67,405
-6.3525488063896,55.1409389003552,B_CLASS,20050124,B 147,406
-6.22164230546811,55.1926249174316,B_CLASS,20050124,B 15,407
-6.12981061399498,55.0364607859355,B_CLASS,20050131,B 14,408
-6.29980369389637,54.8412645787741,B_CLASS,20060309,B 18,409
-6.43244259367374,54.8815861860043,B_CLASS,20060309,B 96,410
-6.333025094166,54.8817250936098,B_CLASS,20060309,B 62,411
-6.38152709868793,54.8796638097181,B_CLASS,20060309,B 96,412
-6.36684715630949,54.8646849656185,B_CLASS,20060309,B 93,413
-6.36930385633729,54.8416953152257,B_CLASS,20060309,B 93,414
-6.36605267805141,54.9889496514784,B_CLASS,20050131,B 93,415
-6.36504727848917,54.9245782593219,B_CLASS,20060309,B 93,416
-6.42568307848679,54.9624650030874,B_CLASS,20050131,B 64,417
-6.32778652153704,54.9591667908111,B_CLASS,20050131,B 64,418
-6.31951961637068,54.9846555347929,B_CLASS,20050131,B 94,419
-6.40096614983576,55.004049416984,B_CLASS,20050131,B 16,420
-6.37040830448041,54.9722025898256,B_CLASS,20050131,B 93,421
-6.3987977220285,54.9124341367728,B_CLASS,20060309,B 62,422
-6.26629988929882,54.9537373823482,B_CLASS,20050131,B 94,423
-6.2360189005912,54.9818919340225,B_CLASS,20050131,B 64,424
-6.23182059172704,54.919768729142,B_CLASS,20060309,B 94,425
-6.15577151973419,54.8637124364206,B_CLASS,20060309,B 94,426
-6.19145825705004,54.8149487621053,B_CLASS,20060309,B 59,427
-6.18362865070348,54.8238489908096,B_CLASS,20060309,B 53,428
-6.25245982678886,54.7763901967091,B_CLASS,20060309,B 53,429
-6.17077398715434,54.7172056435636,B_CLASS,20060309,B 95,430
-6.15428032089344,54.7172651712569,B_CLASS,20060309,B 95,431
-6.20160325904764,54.7258126793983,B_CLASS,20060309,B 518,432
-6.20080417529021,54.8049666322384,B_CLASS,20060309,B 98,433
-6.37828122002141,54.796221402025,B_CLASS,20060309,B 52,434
-6.3633337185709,54.7939830893394,B_CLASS,20060309,B 18,435
-6.34626187171488,54.7920304865421,B_CLASS,20060309,B 93,436
-6.24955909750881,54.5086601945437,B_CLASS,20050114,B 105,437
-6.17505086744691,54.5342364215417,B_CLASS,20050114,B 104,438
-6.31334202285216,54.545570306685,B_CLASS,20050114,B 156,439
-6.28519914424239,54.5127116670236,B_CLASS,20050114,B 12,440
-6.42752983374899,54.4920242817394,B_CLASS,20050114,B 2,441
-6.22346018546938,54.601593336935,B_CLASS,20050114,B 12,442
